Customer ID,Customer Name,Transaction Date,Total Amount
CUST-9011,Aditi Rao,2026-09-15,45000.00
CUST-9011,Aditi Rao,2026-09-10,33500.00
CUST-8402,Vikram Malhotra,2026-09-14,28400.00
CUST-8402,Vikram Malhotra,2026-08-30,34000.00
CUST-7210,Ananya Sharma,2026-09-11,51200.00
CUST-6103,Rohan Kulkarni,2026-09-05,1200.00
CUST-6103,Rohan Kulkarni,2026-08-28,2400.00
CUST-6103,Rohan Kulkarni,2026-08-15,1800.00
CUST-6103,Rohan Kulkarni,2026-08-01,3100.00
CUST-6103,Rohan Kulkarni,2026-07-20,1500.00
CUST-6103,Rohan Kulkarni,2026-07-05,4200.00
CUST-5519,Meera Patel,2026-09-02,2300.00
CUST-5519,Meera Patel,2026-08-20,4500.00
CUST-5519,Meera Patel,2026-08-05,5000.00
CUST-5519,Meera Patel,2026-07-18,5000.00
CUST-3820,Pooja Hegde,2026-06-01,18500.00
CUST-3820,Pooja Hegde,2026-05-15,16000.00
CUST-2991,Siddharth Roy,2026-05-10,24800.00
CUST-1904,Tanya Sen,2026-04-20,19500.00
CUST-1120,Arjun Verma,2026-09-17,3200.00
CUST-1045,Neha Nair,2026-08-25,5600.00
CUST-1008,Deepak Chawla,2026-08-18,7900.00
